distance_car_petrol,car_petrol_emissions,distance_car_diesel,car_diesel_emissions,distance_motorbike,motorbike_emissions,distance_bus,bus_emissions,distance_train,train_emissions,distance_bike,bike_emissions
176,40.66,155,27.9,192,21.70,167,17.20,13,0.48,33,0
233,53.82,170,30.6,265,29.95,70,7.21,23,0.85,24,0
2,0.46,6,1.08,133,15.03,152,15.66,261,9.66,42,0
30,6.93,111,19.98,37,4.18,35,3.61,219,8.10,4,0
221,51.05,188,33.84,287,32.43,174,17.92,289,10.69,18,0
61,14.09,197,35.46,11,1.24,240,24.72,95,3.52,17,0
32,7.39,77,13.86,109,12.32,54,5.56,155,5.74,7,0
92,21.25,45,8.1,261,29.49,108,11.12,27,1.00,15,0
129,29.80,41,7.38,186,21.02,253,26.06,15,0.56,21,0
240,55.44,208,37.44,74,8.36,187,19.26,103,3.81,2,0
184,42.50,264,47.52,55,6.22,274,28.22,155,5.74,42,0
117,27.03,118,21.24,86,9.72,4,0.41,245,9.07,23,0
50,11.55,115,20.7,164,18.53,99,10.20,231,8.55,2,0
154,35.57,235,42.3,146,16.50,64,6.59,7,0.26,25,0
290,66.99,168,30.24,260,29.38,270,27.81,225,8.33,49,0
118,27.26,181,32.58,91,10.28,76,7.83,87,3.22,7,0
206,47.59,10,1.8,164,18.53,235,24.21,263,9.73,45,0
124,28.64,119,21.42,257,29.04,206,21.22,175,6.48,50,0
133,30.72,276,49.68,15,1.70,166,17.10,257,9.51,13,0
115,26.57,260,46.8,61,6.89,232,23.90,1,0.04,46,0
182,42.04,39,7.02,177,20.00,195,20.09,143,5.29,10,0
34,7.85,300,54,283,31.98,183,18.85,115,4.26,37,0
54,12.47,230,41.4,88,9.94,227,23.38,251,9.29,46,0
136,31.42,295,53.1,54,6.10,230,23.69,115,4.26,21,0
274,63.29,184,33.12,159,17.97,202,20.81,297,10.99,47,0
195,45.05,202,36.36,300,33.90,273,28.12,51,1.89,28,0
162,37.42,224,40.32,9,1.02,294,30.28,185,6.85,44,0
235,54.29,102,18.36,108,12.20,74,7.62,63,2.33,15,0
226,52.21,122,21.96,205,23.17,56,5.77,275,10.18,31,0
101,23.33,130,23.4,87,9.83,25,2.58,31,1.15,26,0
117,27.03,197,35.46,52,5.88,219,22.56,225,8.33,30,0
104,24.02,102,18.36,65,7.35,237,24.41,103,3.81,37,0
143,33.03,24,4.32,292,33.00,47,4.84,199,7.36,3,0
174,40.19,244,43.92,158,17.85,253,26.06,271,10.03,8,0
223,51.51,195,35.1,215,24.30,248,25.54,277,10.25,39,0
269,62.14,280,50.4,104,11.75,212,21.84,213,7.88,12,0
193,44.58,53,9.54,46,5.20,87,8.96,33,1.22,10,0
231,53.36,28,5.04,258,29.15,173,17.82,241,8.92,48,0
282,65.14,139,25.02,26,2.94,159,16.38,57,2.11,15,0
22,5.08,275,49.5,227,25.65,135,13.91,263,9.73,7,0
153,35.34,197,35.46,290,32.77,217,22.35,125,4.63,18,0
226,52.21,75,13.5,75,8.48,167,17.20,69,2.55,32,0
240,55.44,53,9.54,237,26.78,278,28.63,261,9.66,47,0
121,27.95,62,11.16,208,23.50,244,25.13,219,8.10,5,0
163,37.65,11,1.98,120,13.56,113,11.64,95,3.52,32,0
56,12.94,74,13.32,135,15.26,16,1.65,263,9.73,19,0
69,15.94,56,10.08,185,20.91,256,26.37,115,4.26,22,0
284,65.60,52,9.36,17,1.92,19,1.96,299,11.06,18,0
215,49.67,237,42.66,241,27.23,199,20.50,31,1.15,27,0
119,27.49,258,46.44,276,31.19,221,22.76,33,1.22,28,0
78,18.02,221,39.78,210,23.73,69,7.11,197,7.29,16,0
28,6.47,143,25.74,38,4.29,218,22.45,17,0.63,41,0
170,39.27,234,42.12,57,6.44,9,0.93,273,10.10,16,0
273,63.06,184,33.12,82,9.27,261,26.88,87,3.22,19,0
272,62.83,287,51.66,276,31.19,284,29.25,149,5.51,11,0
239,55.21,183,32.94,51,5.76,57,5.87,275,10.18,5,0
178,41.12,264,47.52,22,2.49,243,25.03,245,9.07,33,0
288,66.53,216,38.88,236,26.67,251,25.85,105,3.89,10,0
20,4.62,41,7.38,76,8.59,97,9.99,291,10.77,33,0
21,4.85,139,25.02,282,31.87,171,17.61,139,5.14,48,0
45,10.40,151,27.18,287,32.43,253,26.06,29,1.07,3,0
213,49.20,29,5.22,137,15.48,113,11.64,227,8.40,38,0
102,23.56,16,2.88,113,12.77,232,23.90,225,8.33,20,0
82,18.94,242,43.56,251,28.36,193,19.88,139,5.14,50,0
231,53.36,109,19.62,300,33.90,237,24.41,125,4.63,49,0
222,51.28,236,42.48,2,0.23,285,29.36,145,5.37,35,0
254,58.67,66,11.88,58,6.55,127,13.08,163,6.03,37,0
281,64.91,147,26.46,177,20.00,219,22.56,241,8.92,13,0
247,57.06,216,38.88,133,15.03,77,7.93,167,6.18,42,0
216,49.90,2,0.36,281,31.75,15,1.55,289,10.69,18,0
22,5.08,76,13.68,267,30.17,125,12.88,269,9.95,4,0
127,29.34,188,33.84,28,3.16,154,15.86,189,6.99,3,0
171,39.50,85,15.3,15,1.70,182,18.75,71,2.63,29,0
222,51.28,11,1.98,103,11.64,106,10.92,201,7.44,6,0
82,18.94,296,53.28,292,33.00,32,3.30,295,10.92,29,0
261,60.29,196,35.28,234,26.44,224,23.07,285,10.55,9,0
249,57.52,55,9.9,88,9.94,285,29.36,183,6.77,9,0
2,0.46,29,5.22,277,31.30,215,22.15,289,10.69,5,0
74,17.09,184,33.12,237,26.78,150,15.45,227,8.40,34,0
10,2.31,154,27.72,151,17.06,202,20.81,17,0.63,7,0
296,68.38,185,33.3,281,31.75,224,23.07,97,3.59,43,0
284,65.60,286,51.48,276,31.19,261,26.88,43,1.59,27,0
28,6.47,245,44.1,98,11.07,68,7.00,77,2.85,20,0
215,49.67,181,32.58,188,21.24,235,24.21,25,0.93,28,0
182,42.04,113,20.34,114,12.88,151,15.55,151,5.59,21,0
223,51.51,243,43.74,65,7.35,207,21.32,267,9.88,11,0
53,12.24,266,47.88,138,15.59,224,23.07,267,9.88,20,0
158,36.50,78,14.04,53,5.99,76,7.83,141,5.22,33,0
193,44.58,290,52.2,166,18.76,54,5.56,95,3.52,16,0
200,46.20,151,27.18,13,1.47,151,15.55,5,0.19,19,0
184,42.50,222,39.96,89,10.06,207,21.32,171,6.33,17,0
120,27.72,272,48.96,197,22.26,266,27.40,259,9.58,9,0
49,11.32,265,47.7,295,33.34,119,12.26,259,9.58,8,0
39,9.01,162,29.16,9,1.02,239,24.62,155,5.74,8,0
158,36.50,49,8.82,23,2.60,1,0.10,169,6.25,18,0
104,24.02,225,40.5,6,0.68,24,2.47,113,4.18,26,0
142,32.80,145,26.1,149,16.84,273,28.12,207,7.66,43,0
206,47.59,273,49.14,77,8.70,294,30.28,229,8.47,36,0
224,51.74,254,45.72,252,28.48,30,3.09,123,4.55,28,0
103,23.79,47,8.46,223,25.20,167,17.20,165,6.11,43,0
249,57.52,26,4.68,46,5.20,179,18.44,127,4.70,37,0
165,38.12,253,45.54,61,6.89,208,21.42,95,3.52,42,0
247,57.06,124,22.32,41,4.63,81,8.34,203,7.51,36,0
28,6.47,153,27.54,272,30.74,20,2.06,193,7.14,49,0
54,12.47,6,1.08,43,4.86,291,29.97,47,1.74,32,0
87,20.10,270,48.6,59,6.67,56,5.77,137,5.07,8,0
296,68.38,81,14.58,71,8.02,126,12.98,289,10.69,44,0
212,48.97,65,11.7,62,7.01,109,11.23,55,2.04,31,0
292,67.45,275,49.5,245,27.69,70,7.21,175,6.48,21,0
166,38.35,273,49.14,263,29.72,284,29.25,53,1.96,12,0
72,16.63,17,3.06,180,20.34,190,19.57,95,3.52,29,0
271,62.60,35,6.3,198,22.37,6,0.62,185,6.85,50,0
207,47.82,284,51.12,150,16.95,1,0.10,87,3.22,11,0
145,33.50,66,11.88,284,32.09,187,19.26,199,7.36,19,0
239,55.21,112,20.16,242,27.35,48,4.94,97,3.59,13,0
172,39.73,98,17.64,218,24.63,169,17.41,65,2.41,37,0
180,41.58,173,31.14,144,16.27,53,5.46,133,4.92,26,0
201,46.43,205,36.9,1,0.11,216,22.25,253,9.36,14,0
262,60.52,223,40.14,269,30.40,40,4.12,299,11.06,37,0
235,54.29,214,38.52,10,1.13,125,12.88,293,10.84,17,0
58,13.40,34,6.12,86,9.72,242,24.93,209,7.73,34,0
276,63.76,178,32.04,265,29.95,92,9.48,181,6.70,41,0
111,25.64,5,0.9,222,25.09,234,24.10,31,1.15,31,0
136,31.42,294,52.92,233,26.33,300,30.90,119,4.40,38,0
294,67.91,149,26.82,178,20.11,147,15.14,87,3.22,42,0
57,13.17,146,26.28,102,11.53,24,2.47,195,7.22,39,0
280,64.68,274,49.32,25,2.83,276,28.43,247,9.14,9,0
280,64.68,81,14.58,42,4.75,7,0.72,165,6.11,6,0
135,31.19,263,47.34,275,31.08,160,16.48,107,3.96,41,0
111,25.64,137,24.66,72,8.14,252,25.96,267,9.88,37,0
220,50.82,29,5.22,6,0.68,72,7.42,85,3.15,4,0
212,48.97,218,39.24,209,23.62,224,23.07,191,7.07,50,0
206,47.59,278,50.04,280,31.64,20,2.06,217,8.03,9,0
95,21.95,4,0.72,219,24.75,83,8.55,91,3.37,41,0
191,44.12,264,47.52,257,29.04,82,8.45,51,1.89,4,0
72,16.63,90,16.2,292,33.00,150,15.45,187,6.92,3,0
140,32.34,68,12.24,123,13.90,113,11.64,283,10.47,18,0
233,53.82,24,4.32,277,31.30,155,15.97,27,1.00,41,0
179,41.35,207,37.26,231,26.10,283,29.15,187,6.92,21,0
230,53.13,101,18.18,195,22.04,73,7.52,73,2.70,49,0
209,48.28,274,49.32,170,19.21,278,28.63,279,10.32,30,0
129,29.80,11,1.98,255,28.82,151,15.55,193,7.14,33,0
196,45.28,140,25.2,98,11.07,97,9.99,163,6.03,48,0
149,34.42,51,9.18,290,32.77,98,10.09,193,7.14,25,0
226,52.21,96,17.28,110,12.43,285,29.36,59,2.18,13,0
54,12.47,283,50.94,73,8.25,205,21.12,223,8.25,4,0
149,34.42,148,26.64,138,15.59,153,15.76,231,8.55,16,0
73,16.86,15,2.7,20,2.26,272,28.02,239,8.84,43,0
139,32.11,177,31.86,61,6.89,3,0.31,227,8.40,40,0
101,23.33,79,14.22,216,24.41,282,29.05,199,7.36,9,0
118,27.26,145,26.1,193,21.81,168,17.30,219,8.10,41,0
1,0.23,62,11.16,228,25.76,194,19.98,65,2.41,24,0
219,50.59,27,4.86,152,17.18,210,21.63,205,7.59,17,0
21,4.85,150,27,191,21.58,228,23.48,231,8.55,23,0
24,5.54,135,24.3,242,27.35,27,2.78,295,10.92,34,0
95,21.95,220,39.6,105,11.87,135,13.91,127,4.70,28,0
19,4.39,4,0.72,29,3.28,116,11.95,171,6.33,38,0
206,47.59,21,3.78,195,22.04,51,5.25,81,3.00,35,0
166,38.35,151,27.18,275,31.08,127,13.08,139,5.14,23,0
189,43.66,80,14.4,177,20.00,285,29.36,253,9.36,6,0
298,68.84,203,36.54,138,15.59,13,1.34,167,6.18,34,0
300,69.30,199,35.82,163,18.42,176,18.13,79,2.92,37,0
179,41.35,200,36,115,13.00,48,4.94,49,1.81,11,0
296,68.38,71,12.78,264,29.83,130,13.39,101,3.74,30,0
258,59.60,291,52.38,218,24.63,82,8.45,23,0.85,36,0
299,69.07,40,7.2,134,15.14,66,6.80,149,5.51,6,0
199,45.97,244,43.92,17,1.92,190,19.57,39,1.44,41,0
150,34.65,132,23.76,2,0.23,195,20.09,261,9.66,38,0
155,35.81,235,42.3,235,26.56,25,2.58,27,1.00,33,0
133,30.72,186,33.48,288,32.54,20,2.06,41,1.52,27,0
286,66.07,25,4.5,48,5.42,15,1.55,121,4.48,7,0
25,5.78,88,15.84,194,21.92,216,22.25,269,9.95,31,0
93,21.48,149,26.82,281,31.75,80,8.24,187,6.92,36,0
289,66.76,58,10.44,1,0.11,243,25.03,71,2.63,8,0
157,36.27,128,23.04,127,14.35,299,30.80,93,3.44,17,0
245,56.60,19,3.42,240,27.12,284,29.25,133,4.92,22,0
11,2.54,104,18.72,119,13.45,27,2.78,39,1.44,27,0
80,18.48,270,48.6,128,14.46,66,6.80,55,2.04,17,0
267,61.68,139,25.02,165,18.65,181,18.64,149,5.51,19,0
34,7.85,197,35.46,16,1.81,270,27.81,149,5.51,40,0
234,54.05,12,2.16,84,9.49,188,19.36,193,7.14,29,0
289,66.76,119,21.42,193,21.81,179,18.44,173,6.40,5,0
250,57.75,164,29.52,131,14.80,264,27.19,35,1.30,4,0
182,42.04,79,14.22,112,12.66,176,18.13,179,6.62,7,0
30,6.93,1,0.18,264,29.83,25,2.58,227,8.40,2,0
98,22.64,219,39.42,115,13.00,36,3.71,125,4.63,49,0
38,8.78,201,36.18,207,23.39,218,22.45,291,10.77,38,0
102,23.56,133,23.94,201,22.71,254,26.16,37,1.37,14,0
173,39.96,148,26.64,218,24.63,183,18.85,45,1.67,7,0
285,65.84,11,1.98,252,28.48,139,14.32,131,4.85,10,0
114,26.33,278,50.04,169,19.10,167,17.20,201,7.44,8,0
82,18.94,175,31.5,274,30.96,113,11.64,199,7.36,14,0
195,45.05,83,14.94,118,13.33,70,7.21,223,8.25,11,0
299,69.07,25,4.5,53,5.99,114,11.74,247,9.14,4,0
168,38.81,94,16.92,4,0.45,227,23.38,185,6.85,17,0
206,47.59,237,42.66,6,0.68,290,29.87,97,3.59,38,0
155,35.81,158,28.44,299,33.79,42,4.33,191,7.07,42,0
36,8.32,171,30.78,40,4.52,50,5.15,9,0.33,27,0
166,38.35,279,50.22,81,9.15,39,4.02,55,2.04,24,0
94,21.71,166,29.88,27,3.05,171,17.61,193,7.14,47,0
9,2.08,155,27.9,32,3.62,276,28.43,201,7.44,31,0
206,47.59,15,2.7,63,7.12,27,2.78,263,9.73,14,0
242,55.90,65,11.7,105,11.87,255,26.27,167,6.18,25,0
102,23.56,92,16.56,205,23.17,246,25.34,271,10.03,5,0
225,51.98,288,51.84,46,5.20,88,9.06,203,7.51,50,0
37,8.55,81,14.58,121,13.67,265,27.30,93,3.44,18,0
34,7.85,85,15.3,269,30.40,238,24.51,129,4.77,49,0
176,40.66,60,10.8,62,7.01,145,14.94,99,3.66,30,0
241,55.67,280,50.4,120,13.56,179,18.44,219,8.10,23,0
198,45.74,100,18,280,31.64,124,12.77,133,4.92,12,0
227,52.44,92,16.56,23,2.60,261,26.88,117,4.33,25,0
47,10.86,290,52.2,76,8.59,39,4.02,211,7.81,34,0
199,45.97,35,6.3,84,9.49,123,12.67,3,0.11,37,0
182,42.04,269,48.42,258,29.15,135,13.91,167,6.18,46,0
131,30.26,247,44.46,165,18.65,150,15.45,197,7.29,40,0
285,65.84,236,42.48,284,32.09,290,29.87,51,1.89,49,0
244,56.36,92,16.56,79,8.93,272,28.02,179,6.62,25,0
198,45.74,18,3.24,207,23.39,75,7.73,265,9.81,39,0
264,60.98,246,44.28,38,4.29,146,15.04,275,10.18,46,0
69,15.94,113,20.34,299,33.79,129,13.29,49,1.81,28,0
18,4.16,106,19.08,85,9.61,253,26.06,31,1.15,47,0
117,27.03,58,10.44,93,10.51,110,11.33,173,6.40,11,0
201,46.43,223,40.14,136,15.37,137,14.11,35,1.30,11,0
56,12.94,124,22.32,47,5.31,174,17.92,73,2.70,1,0
97,22.41,63,11.34,184,20.79,189,19.47,287,10.62,35,0
64,14.78,63,11.34,200,22.60,191,19.67,173,6.40,35,0
126,29.11,6,1.08,247,27.91,115,11.85,119,4.40,43,0
82,18.94,178,32.04,58,6.55,239,24.62,181,6.70,1,0
298,68.84,74,13.32,59,6.67,178,18.33,91,3.37,46,0
193,44.58,52,9.36,192,21.70,253,26.06,89,3.29,32,0
167,38.58,27,4.86,106,11.98,273,28.12,263,9.73,5,0
153,35.34,51,9.18,108,12.20,175,18.03,261,9.66,30,0
58,13.40,254,45.72,148,16.72,114,11.74,125,4.63,39,0
176,40.66,89,16.02,127,14.35,254,26.16,31,1.15,2,0
238,54.98,229,41.22,250,28.25,267,27.50,167,6.18,45,0
185,42.74,281,50.58,160,18.08,136,14.01,99,3.66,45,0
267,61.68,39,7.02,170,19.21,110,11.33,39,1.44,37,0
216,49.90,126,22.68,175,19.78,137,14.11,229,8.47,40,0
240,55.44,167,30.06,272,30.74,47,4.84,163,6.03,15,0
37,8.55,295,53.1,271,30.62,41,4.22,189,6.99,19,0
127,29.34,228,41.04,94,10.62,66,6.80,21,0.78,16,0
230,53.13,55,9.9,213,24.07,88,9.06,237,8.77,44,0
231,53.36,174,31.32,234,26.44,110,11.33,169,6.25,17,0
299,69.07,125,22.5,20,2.26,59,6.08,39,1.44,32,0
257,59.37,278,50.04,218,24.63,250,25.75,101,3.74,11,0
191,44.12,273,49.14,34,3.84,64,6.59,205,7.59,32,0
82,18.94,255,45.9,56,6.33,239,24.62,299,11.06,12,0
162,37.42,125,22.5,275,31.08,84,8.65,281,10.40,20,0
161,37.19,32,5.76,207,23.39,170,17.51,253,9.36,14,0
284,65.60,31,5.58,194,21.92,225,23.18,137,5.07,46,0
89,20.56,49,8.82,73,8.25,44,4.53,249,9.21,4,0
126,29.11,234,42.12,158,17.85,272,28.02,197,7.29,7,0
106,24.49,160,28.8,13,1.47,24,2.47,227,8.40,10,0
96,22.18,35,6.3,47,5.31,16,1.65,31,1.15,12,0
134,30.95,29,5.22,209,23.62,177,18.23,119,4.40,31,0
213,49.20,289,52.02,156,17.63,176,18.13,89,3.29,42,0
177,40.89,71,12.78,140,15.82,4,0.41,109,4.03,33,0
118,27.26,90,16.2,114,12.88,151,15.55,127,4.70,23,0
294,67.91,132,23.76,59,6.67,293,30.18,101,3.74,1,0
252,58.21,87,15.66,28,3.16,185,19.06,243,8.99,50,0
163,37.65,36,6.48,151,17.06,163,16.79,41,1.52,19,0
15,3.47,93,16.74,116,13.11,40,4.12,281,10.40,41,0
244,56.36,36,6.48,161,18.19,148,15.24,277,10.25,46,0
39,9.01,203,36.54,285,32.21,174,17.92,299,11.06,21,0
253,58.44,209,37.62,291,32.88,2,0.21,29,1.07,40,0
203,46.89,255,45.9,249,28.14,110,11.33,79,2.92,30,0
196,45.28,165,29.7,40,4.52,28,2.88,233,8.62,18,0
107,24.72,204,36.72,259,29.27,267,27.50,37,1.37,14,0
25,5.78,54,9.72,54,6.10,287,29.56,97,3.59,6,0
248,57.29,112,20.16,93,10.51,121,12.46,75,2.78,16,0
57,13.17,177,31.86,193,21.81,209,21.53,39,1.44,16,0
143,33.03,41,7.38,158,17.85,95,9.79,265,9.81,4,0
99,22.87,299,53.82,198,22.37,145,14.94,259,9.58,44,0
180,41.58,170,30.6,53,5.99,233,24.00,229,8.47,28,0
157,36.27,132,23.76,126,14.24,151,15.55,247,9.14,30,0
56,12.94,294,52.92,182,20.57,144,14.83,207,7.66,12,0
38,8.78,48,8.64,130,14.69,13,1.34,209,7.73,40,0
154,35.57,175,31.5,275,31.08,83,8.55,203,7.51,8,0
58,13.40,83,14.94,56,6.33,232,23.90,243,8.99,44,0
141,32.57,29,5.22,194,21.92,209,21.53,105,3.89,48,0
261,60.29,210,37.8,196,22.15,270,27.81,9,0.33,4,0
116,26.80,27,4.86,33,3.73,99,10.20,29,1.07,29,0
230,53.13,288,51.84,190,21.47,20,2.06,59,2.18,15,0
204,47.12,38,6.84,178,20.11,157,16.17,95,3.52,31,0
233,53.82,288,51.84,279,31.53,2,0.21,177,6.55,31,0
300,69.30,28,5.04,177,20.00,150,15.45,95,3.52,7,0
75,17.33,296,53.28,174,19.66,70,7.21,223,8.25,21,0
288,66.53,103,18.54,61,6.89,120,12.36,239,8.84,4,0
86,19.87,206,37.08,244,27.57,74,7.62,15,0.56,44,0
272,62.83,155,27.9,25,2.83,152,15.66,59,2.18,42,0
207,47.82,168,30.24,269,30.40,130,13.39,127,4.70,5,0
12,2.77,147,26.46,165,18.65,224,23.07,203,7.51,15,0
99,22.87,221,39.78,233,26.33,24,2.47,17,0.63,6,0
226,52.21,34,6.12,22,2.49,130,13.39,299,11.06,32,0
278,64.22,274,49.32,222,25.09,27,2.78,223,8.25,21,0
149,34.42,162,29.16,47,5.31,167,17.20,51,1.89,47,0
257,59.37,201,36.18,108,12.20,299,30.80,27,1.00,13,0
294,67.91,57,10.26,15,1.70,134,13.80,247,9.14,21,0
214,49.43,10,1.8,148,16.72,284,29.25,135,5.00,20,0
181,41.81,256,46.08,15,1.70,131,13.49,263,9.73,25,0
292,67.45,213,38.34,130,14.69,192,19.78,117,4.33,29,0
141,32.57,7,1.26,197,22.26,112,11.54,221,8.18,33,0
154,35.57,126,22.68,130,14.69,84,8.65,271,10.03,30,0
248,57.29,59,10.62,39,4.41,150,15.45,87,3.22,2,0
67,15.48,86,15.48,66,7.46,30,3.09,247,9.14,41,0
34,7.85,155,27.9,126,14.24,298,30.69,239,8.84,47,0
242,55.90,282,50.76,86,9.72,22,2.27,133,4.92,34,0
229,52.90,113,20.34,261,29.49,45,4.64,191,7.07,43,0
254,58.67,279,50.22,36,4.07,206,21.22,33,1.22,7,0
226,52.21,277,49.86,274,30.96,205,21.12,231,8.55,4,0
7,1.62,168,30.24,278,31.41,293,30.18,285,10.55,11,0
36,8.32,281,50.58,70,7.91,72,7.42,29,1.07,47,0
113,26.10,102,18.36,176,19.89,129,13.29,249,9.21,6,0
45,10.40,273,49.14,71,8.02,127,13.08,119,4.40,28,0
67,15.48,169,30.42,205,23.17,294,30.28,155,5.74,17,0
285,65.84,183,32.94,43,4.86,115,11.85,273,10.10,2,0
169,39.04,68,12.24,275,31.08,199,20.50,99,3.66,24,0
289,66.76,97,17.46,184,20.79,231,23.79,155,5.74,24,0
44,10.16,238,42.84,93,10.51,54,5.56,295,10.92,19,0
250,57.75,215,38.7,163,18.42,148,15.24,37,1.37,38,0
106,24.49,19,3.42,105,11.87,94,9.68,15,0.56,37,0
206,47.59,76,13.68,238,26.89,152,15.66,275,10.18,41,0
172,39.73,188,33.84,58,6.55,74,7.62,59,2.18,33,0
72,16.63,185,33.3,96,10.85,230,23.69,239,8.84,26,0
199,45.97,235,42.3,241,27.23,279,28.74,241,8.92,10,0
210,48.51,1,0.18,202,22.83,68,7.00,119,4.40,19,0
239,55.21,223,40.14,31,3.50,38,3.91,63,2.33,27,0
161,37.19,233,41.94,268,30.28,123,12.67,195,7.22,36,0
239,55.21,133,23.94,120,13.56,20,2.06,71,2.63,36,0
86,19.87,134,24.12,62,7.01,263,27.09,249,9.21,45,0
177,40.89,18,3.24,255,28.82,283,29.15,239,8.84,10,0
145,33.50,216,38.88,86,9.72,119,12.26,287,10.62,10,0
164,37.88,14,2.52,76,8.59,115,11.85,5,0.19,13,0
172,39.73,73,13.14,83,9.38,216,22.25,71,2.63,18,0
72,16.63,287,51.66,29,3.28,114,11.74,111,4.11,9,0
34,7.85,96,17.28,278,31.41,98,10.09,139,5.14,15,0
163,37.65,287,51.66,297,33.56,195,20.09,111,4.11,39,0
237,54.75,286,51.48,192,21.70,251,25.85,47,1.74,29,0
47,10.86,171,30.78,296,33.45,150,15.45,35,1.30,37,0
9,2.08,145,26.1,41,4.63,126,12.98,271,10.03,24,0
263,60.75,281,50.58,74,8.36,300,30.90,23,0.85,8,0
58,13.40,284,51.12,140,15.82,100,10.30,225,8.33,49,0
298,68.84,282,50.76,156,17.63,195,20.09,249,9.21,27,0
35,8.09,84,15.12,173,19.55,58,5.97,45,1.67,17,0
253,58.44,87,15.66,188,21.24,253,26.06,161,5.96,45,0
82,18.94,126,22.68,65,7.35,21,2.16,257,9.51,11,0
143,33.03,240,43.2,51,5.76,21,2.16,33,1.22,23,0
141,32.57,270,48.6,137,15.48,12,1.24,285,10.55,2,0
157,36.27,164,29.52,210,23.73,97,9.99,111,4.11,36,0
166,38.35,111,19.98,275,31.08,159,16.38,129,4.77,3,0
297,68.61,11,1.98,297,33.56,217,22.35,225,8.33,24,0
85,19.64,218,39.24,115,13.00,158,16.27,105,3.89,46,0
269,62.14,268,48.24,51,5.76,187,19.26,191,7.07,31,0
141,32.57,231,41.58,249,28.14,265,27.30,115,4.26,2,0
114,26.33,100,18,82,9.27,117,12.05,101,3.74,12,0
284,65.60,280,50.4,36,4.07,124,12.77,183,6.77,36,0
146,33.73,243,43.74,222,25.09,52,5.36,37,1.37,38,0
72,16.63,133,23.94,200,22.60,284,29.25,189,6.99,39,0
201,46.43,259,46.62,243,27.46,6,0.62,213,7.88,9,0
112,25.87,198,35.64,108,12.20,296,30.49,127,4.70,45,0
241,55.67,132,23.76,40,4.52,171,17.61,283,10.47,4,0
203,46.89,100,18,98,11.07,289,29.77,247,9.14,40,0
55,12.71,252,45.36,8,0.90,87,8.96,145,5.37,3,0
281,64.91,256,46.08,277,31.30,79,8.14,221,8.18,5,0
127,29.34,249,44.82,98,11.07,18,1.85,133,4.92,38,0
36,8.32,289,52.02,286,32.32,188,19.36,245,9.07,45,0
291,67.22,104,18.72,174,19.66,200,20.60,195,7.22,1,0
275,63.53,85,15.3,87,9.83,290,29.87,109,4.03,22,0
48,11.09,153,27.54,112,12.66,152,15.66,157,5.81,19,0
144,33.26,278,50.04,259,29.27,231,23.79,35,1.30,40,0
192,44.35,22,3.96,135,15.26,98,10.09,71,2.63,42,0
184,42.50,9,1.62,184,20.79,26,2.68,221,8.18,30,0
205,47.36,249,44.82,34,3.84,42,4.33,131,4.85,26,0
146,33.73,23,4.14,160,18.08,135,13.91,93,3.44,44,0
132,30.49,192,34.56,68,7.68,46,4.74,27,1.00,4,0
157,36.27,21,3.78,200,22.60,234,24.10,3,0.11,44,0
243,56.13,33,5.94,188,21.24,224,23.07,233,8.62,5,0
248,57.29,292,52.56,97,10.96,6,0.62,95,3.52,23,0
245,56.60,171,30.78,24,2.71,86,8.86,47,1.74,18,0
39,9.01,40,7.2,30,3.39,90,9.27,179,6.62,6,0
293,67.68,279,50.22,178,20.11,197,20.29,109,4.03,16,0
229,52.90,259,46.62,24,2.71,252,25.96,243,8.99,31,0
273,63.06,125,22.5,260,29.38,266,27.40,279,10.32,1,0
244,56.36,38,6.84,208,23.50,98,10.09,265,9.81,47,0
162,37.42,248,44.64,176,19.89,169,17.41,253,9.36,39,0
75,17.33,8,1.44,45,5.09,287,29.56,285,10.55,9,0
298,68.84,71,12.78,265,29.95,131,13.49,161,5.96,5,0
141,32.57,261,46.98,265,29.95,216,22.25,197,7.29,46,0
36,8.32,66,11.88,261,29.49,57,5.87,57,2.11,9,0
78,18.02,290,52.2,154,17.40,14,1.44,211,7.81,11,0
137,31.65,99,17.82,36,4.07,69,7.11,107,3.96,1,0
39,9.01,207,37.26,298,33.67,110,11.33,45,1.67,48,0
227,52.44,218,39.24,159,17.97,255,26.27,165,6.11,8,0
91,21.02,88,15.84,294,33.22,80,8.24,273,10.10,2,0
269,62.14,57,10.26,58,6.55,248,25.54,89,3.29,50,0
209,48.28,229,41.22,16,1.81,55,5.67,71,2.63,45,0
126,29.11,242,43.56,191,21.58,68,7.00,221,8.18,5,0
182,42.04,149,26.82,120,13.56,160,16.48,269,9.95,1,0
169,39.04,194,34.92,242,27.35,262,26.99,175,6.48,24,0
184,42.50,238,42.84,300,33.90,219,22.56,161,5.96,32,0
103,23.79,98,17.64,184,20.79,7,0.72,11,0.41,39,0
150,34.65,26,4.68,262,29.61,268,27.60,111,4.11,30,0
266,61.45,149,26.82,61,6.89,1,0.10,101,3.74,26,0
222,51.28,162,29.16,107,12.09,78,8.03,177,6.55,25,0
206,47.59,250,45,66,7.46,231,23.79,115,4.26,22,0
253,58.44,227,40.86,230,25.99,91,9.37,175,6.48,41,0
225,51.98,97,17.46,41,4.63,185,19.06,145,5.37,21,0
91,21.02,128,23.04,51,5.76,23,2.37,79,2.92,26,0
98,22.64,53,9.54,119,13.45,190,19.57,143,5.29,43,0
